canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
236,Daniël de Ridder,15894,Daniël de Ridder,1.0,1.0,1.0,1.0,exact_after_normalize
237,Jan Šeda,44422,Jan Seda,0.5,1.0,1.0,1.0,exact_after_normalize
238,Cuco Martina,91251,Cuco Martina,1.0,1.0,1.0,1.0,exact_after_normalize
239,Nils Röseler,47740,Nils Röseler,1.0,1.0,1.0,1.0,exact_after_normalize
240,Willem Janssen,19409,Willem Janssen,1.0,1.0,1.0,1.0,exact_after_normalize
241,Jesús Corona,125165,Jesús Corona,1.0,1.0,1.0,1.0,exact_after_normalize
242,Tim Hölscher,232500,Tim Hölscher,1.0,1.0,1.0,1.0,exact_after_normalize
243,Felitciano Zschusschen,193904,Felitciano Zschusschen,1.0,1.0,1.0,1.0,exact_after_normalize
245,Andreas Bjelland,56354,Andreas Bjelland,1.0,1.0,1.0,1.0,exact_after_normalize
246,Luc Castaignos,91915,Luc Castaignos,1.0,1.0,1.0,1.0,exact_after_normalize
247,Shadrach Eghan,261154,Shadrach Eghan,1.0,1.0,1.0,1.0,exact_after_normalize
249,Youness Mokhtar,83946,Youness Mokhtar,1.0,1.0,1.0,1.0,exact_after_normalize
250,Kyle Ebecilio,152642,Kyle Ebecilio,1.0,1.0,1.0,1.0,exact_after_normalize
251,Robbert Schilder,30667,Robbert Schilder,1.0,1.0,1.0,1.0,exact_after_normalize
252,Quincy Promes,182381,Quincy Promes,1.0,1.0,1.0,1.0,exact_after_normalize
253,Roberto Rosales,49500,Roberto Rosales,1.0,1.0,1.0,1.0,exact_after_normalize
254,Nick Marsman,158104,Nick Marsman,1.0,1.0,1.0,1.0,exact_after_normalize
255,Felipe Gutiérrez,133089,Felipe Gutiérrez,1.0,1.0,1.0,1.0,exact_after_normalize
256,Rasmus Bengtsson,37080,Rasmus Bengtsson,1.0,1.0,1.0,1.0,exact_after_normalize
257,Torgeir Børven,129236,Torgeir Børven,1.0,1.0,1.0,1.0,exact_after_normalize
258,Dico Koppers,111184,Dico Koppers,1.0,1.0,1.0,1.0,exact_after_normalize
259,Tim Breukers,63356,Tim Breukers,1.0,1.0,1.0,1.0,exact_after_normalize
260,Wout Brama,30003,Wout Brama,1.0,1.0,1.0,1.0,exact_after_normalize
261,Dušan Tadić,36139,Dusan Tadic,0.4118,1.0,1.0,1.0,exact_after_normalize
262,Bertrand Traoré,131996,Bertrand Traoré,1.0,1.0,1.0,1.0,exact_after_normalize
263,Theo Janssen,4425,Theo Janssen,1.0,1.0,1.0,1.0,exact_after_normalize
264,Renato Ibarra,191830,Renato Ibarra,1.0,1.0,1.0,1.0,exact_after_normalize
265,Mike Havenaar,79470,Mike Havenaar,1.0,1.0,1.0,1.0,exact_after_normalize
266,Francisco Júnior,215840,Francisco Júnior,1.0,1.0,1.0,1.0,exact_after_normalize
267,Valeri Qazaishvili,156115,Valeri Qazaishvili,1.0,1.0,1.0,1.0,exact_after_normalize
268,Frank van der Struijk,19061,Frank van der Struijk,1.0,1.0,1.0,1.0,exact_after_normalize
269,Sam Hutchinson,40617,Sam Hutchinson,1.0,1.0,1.0,1.0,exact_after_normalize
270,Gaël Kakuta,74297,Gaël Kakuta,1.0,1.0,1.0,1.0,exact_after_normalize
271,Marcus Pedersen,41609,Marcus Pedersen,1.0,1.0,1.0,1.0,exact_after_normalize
271,Marcus Pedersen,583404,Marcus Pedersen,1.0,1.0,1.0,1.0,exact_after_normalize
272,Zakaria Labyad,123349,Zakaria Labyad,1.0,1.0,1.0,1.0,exact_after_normalize
273,Piet Velthuizen,30585,Piet Velthuizen,1.0,1.0,1.0,1.0,exact_after_normalize
274,Jonathan Reis,53444,Jonathan Reis,1.0,1.0,1.0,1.0,exact_after_normalize
275,Davy Pröpper,79027,Davy Pröpper,1.0,1.0,1.0,1.0,exact_after_normalize
276,Giorgi Chanturia,136397,Giorgi Chanturia,1.0,1.0,1.0,1.0,exact_after_normalize
277,Guram Kashia,55972,Guram Kashia,1.0,1.0,1.0,1.0,exact_after_normalize
278,Jan-Arie van der Heijden,45538,Jan-Arie van der Heijden,1.0,1.0,1.0,1.0,exact_after_normalize
279,Kelvin Leerdam,92936,Kelvin Leerdam,1.0,1.0,1.0,1.0,exact_after_normalize
280,Patrick van Aanholt,52119,Patrick van Aanholt,1.0,1.0,1.0,1.0,exact_after_normalize
281,Rochdi Achenteh,61809,Rochdi Achenteh,1.0,1.0,1.0,1.0,exact_after_normalize
282,Christian Atsu,186997,Christian Atsu,1.0,1.0,1.0,1.0,exact_after_normalize
283,Marko Vejinović,59594,Marko Vejinović,1.0,1.0,1.0,1.0,exact_after_normalize
284,Lucas Piazon,176485,Lucas Piazón,0.625,1.0,1.0,1.0,exact_after_normalize
285,Wilson Eduardo,60799,Wilson Eduardo,1.0,1.0,1.0,1.0,exact_after_normalize
286,Thomas Kristensen,23492,Thomas Kristensen,1.0,1.0,1.0,1.0,exact_after_normalize
287,Guy Smith,317412,Guy Smith,1.0,1.0,1.0,1.0,exact_after_normalize
