fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Bart van Rooij,Vito van Crooij,NEC Nijmegen,2024,0.3636,0.8094,0.6207,0.6207,other,No match,Different ages
Marvin da Graça,Marvin Martins,Almere City,2024,0.3333,0.8486,0.6207,0.6207,same_given_name_diff_surname,,
Javier Espinosa,Espinosa González,Twente,2019,0.36,0.6183,0.6875,0.6183,other,match,Different parts of name
Nick Hengelman,Nick Marsman,Twente,2016,0.3333,0.8226,0.6154,0.6154,same_given_name_diff_surname,No match,Different ages
Fredrik André Bjørkan,Fredrik Aursnes,Feyenoord,2022,0.3103,0.8576,0.6111,0.6111,same_given_name_diff_surname,No match,Different ages
Emil Hansson,Pär Hansson,Feyenoord,2016,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Pär Hansson,Emil Hansson,Feyenoord,2016,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Nick Kuipers,Bas Kuipers,ADO Den Haag,2017,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Bas Kuipers,Nick Kuipers,ADO Den Haag,2017,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Eduardo Carvalho,Eduardo,Vitesse,2018,0.4706,0.8875,0.6087,0.6087,substring_match,match,nickname
Nick Kuipers,Bas Kuipers,ADO Den Haag,2018,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Bas Kuipers,Nick Kuipers,ADO Den Haag,2018,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,No match,Different ages
Dylan Ruward,Dylan Mbayo,PEC Zwolle,2024,0.3158,0.8439,0.6087,0.6087,same_given_name_diff_surname,,
Dylan Ruward,Dylan Mbayo,PEC Zwolle,2025,0.3158,0.8439,0.6087,0.6087,same_given_name_diff_surname,,
Dylan Mbayo,Dylan Ruward,PEC Zwolle,2025,0.3158,0.8439,0.6087,0.6087,same_given_name_diff_surname,,
Giovanni Gravenbeek,Giovanni Hiwat,PEC Zwolle,2013,0.36,0.8481,0.6061,0.6061,same_given_name_diff_surname,,
